 0.178,  243482.265625 ,      0.092700
 0.179,  236793.750000 ,      0.093000
 0.181,  244117.421875 ,      0.096900
 0.182,  245155.546875 ,      0.095900
 0.183,  244491.890625 ,      0.101900
 0.185,  243740.781250 ,      0.093400
 0.186,  244137.406250 ,      0.095300
 0.187,  243355.250000 ,      0.095400
 0.188,  244340.609375 ,      0.096800
 0.190,  243681.531250 ,      0.095500
 0.191,  244126.609375 ,      0.093200
 0.192,  244766.015625 ,      0.091000
 0.194,  244050.625000 ,      0.095800
 0.195,  243891.921875 ,      0.091500
 0.196,  243493.375000 ,      0.094000
 0.198,  244662.156250 ,      0.093200
 0.199,  243856.765625 ,      0.094100
 0.202,  244909.062500 ,      0.090400
 0.203,  244078.750000 ,      0.091800
 0.205,  243604.812500 ,      0.090100
 0.206,  244670.718750 ,      0.095300
 0.207,  243486.828125 ,      0.097700
 0.209,  244114.203125 ,      0.095300
 0.212,  244309.406250 ,      0.097200
 0.215,  243692.296875 ,      0.092200
 0.216,  244046.296875 ,      0.097800
 0.218,  244485.812500 ,      0.089300
 0.219,  244084.843750 ,      0.098700
 0.222,  243713.734375 ,      0.091100
 0.224,  244410.500000 ,      0.094600
 0.225,  243965.890625 ,      0.088300
 0.229,  244096.718750 ,      0.096100
 0.232,  243257.515625 ,      0.094500
 0.233,  243729.593750 ,      0.093900
 0.235,  244250.531250 ,      0.091100
 0.237,  243951.437500 ,      0.092600
 0.238,  244326.906250 ,      0.092800
 0.240,  243921.062500 ,      0.092200
 0.242,  243366.843750 ,      0.101900
 0.243,  243997.687500 ,      0.091100
 0.245,  243176.218750 ,      0.098800
 0.248,  244375.093750 ,      0.094300
 0.250,  244014.906250 ,      0.094200
 0.252,  244054.859375 ,      0.091000
 0.254,  243411.062500 ,      0.089800
 0.255,  243397.468750 ,      0.097800
 0.257,  243426.453125 ,      0.101400
 0.261,  242755.234375 ,      0.094400
 0.262,  244127.609375 ,      0.094400
 0.266,  243501.453125 ,      0.094200
 0.270,  243281.984375 ,      0.093000
 0.272,  243454.421875 ,      0.090900
 0.274,  244217.968750 ,      0.092300
 0.275,  243964.718750 ,      0.095000
 0.277,  244031.343750 ,      0.092100
 0.279,  243886.078125 ,      0.095300
 0.281,  243416.437500 ,      0.095800
 0.283,  244137.171875 ,      0.092500
 0.285,  243433.078125 ,      0.092200
 0.287,  243392.171875 ,      0.093900
 0.289,  243882.875000 ,      0.093000
 0.291,  243306.171875 ,      0.086300
 0.295,  243875.671875 ,      0.098900
 0.297,  243335.187500 ,      0.089000
 0.301,  243613.484375 ,      0.093900
 0.305,  243800.843750 ,      0.097700
 0.308,  243870.546875 ,      0.095500
 0.310,  243737.234375 ,      0.095000
 0.323,  243041.906250 ,      0.092100
 0.325,  243043.343750 ,      0.100900
 0.327,  242978.000000 ,      0.090900
 0.330,  243899.156250 ,      0.089900
 0.332,  243806.453125 ,      0.092000
 0.334,  243354.000000 ,      0.088000
 0.337,  243332.796875 ,      0.094500
 0.346,  242977.843750 ,      0.083700
 0.348,  243742.375000 ,      0.088800
 0.353,  243419.328125 ,      0.087000
 0.356,  243236.687500 ,      0.084600
 0.358,  242804.203125 ,      0.093300
 0.361,  243529.906250 ,      0.092000
 0.363,  243289.203125 ,      0.088600
 0.366,  243888.843750 ,      0.089800
 0.368,  243332.125000 ,      0.093000
 0.371,  243300.484375 ,      0.090500
 0.373,  243317.953125 ,      0.089600
 0.376,  242612.328125 ,      0.086200
 0.378,  243190.531250 ,      0.086800
 0.381,  243488.546875 ,      0.090200
 0.384,  243407.171875 ,      0.091300
 0.386,  242796.328125 ,      0.092900
 0.389,  242816.625000 ,      0.091000
 0.392,  243345.734375 ,      0.092600
 0.394,  243246.671875 ,      0.086900
 0.400,  242551.265625 ,      0.091300
 0.411,  242929.187500 ,      0.091700
 0.414,  242828.046875 ,      0.092600
 0.417,  242664.703125 ,      0.092500
 0.420,  243032.250000 ,      0.091500
 0.423,  243093.609375 ,      0.088200
 0.426,  242670.187500 ,      0.090300
 0.429,  242332.234375 ,      0.089500
 0.432,  241955.953125 ,      0.090600
 0.435,  241747.796875 ,      0.088600
 0.438,  242407.796875 ,      0.086900
 0.441,  242181.484375 ,      0.086400
 0.444,  242360.921875 ,      0.090000
 0.447,  242403.906250 ,      0.088000
 0.450,  242583.500000 ,      0.089500
 0.453,  242503.375000 ,      0.090400
 0.456,  242042.281250 ,      0.089200
 0.459,  241958.562500 ,      0.090000
 0.462,  242264.859375 ,      0.088800
 0.466,  242693.765625 ,      0.086000
 0.469,  242024.703125 ,      0.088800
 0.472,  241845.968750 ,      0.087900
 0.475,  241625.687500 ,      0.088500
 0.479,  241886.390625 ,      0.083600
 0.482,  242456.437500 ,      0.089400
 0.485,  241883.937500 ,      0.091400
 0.489,  243151.796875 ,      0.082000
 0.492,  242179.250000 ,      0.087100
 0.495,  242278.593750 ,      0.085100
 0.499,  241179.921875 ,      0.086400
 0.502,  241040.218750 ,      0.086100
 0.506,  241517.734375 ,      0.086600
 0.509,  240884.968750 ,      0.083800
 0.513,  241424.312500 ,      0.089700
 0.516,  241342.140625 ,      0.089000
 0.520,  241241.812500 ,      0.087100
 0.524,  240791.500000 ,      0.087800
 0.527,  240810.078125 ,      0.088300
 0.531,  240677.234375 ,      0.085100
 0.535,  240609.593750 ,      0.084800
 0.538,  240707.031250 ,      0.088800
 0.542,  239906.125000 ,      0.082700
 0.546,  240665.250000 ,      0.089900
 0.550,  240605.015625 ,      0.086100
 0.553,  240142.343750 ,      0.087500
 0.557,  239159.140625 ,      0.089200
 0.561,  239531.062500 ,      0.086400
 0.565,  239850.843750 ,      0.084200
 0.569,  240080.281250 ,      0.083000
 0.573,  239963.515625 ,      0.085100
 0.577,  239322.062500 ,      0.084400
 0.581,  239784.859375 ,      0.080300
 0.585,  239045.265625 ,      0.079100
 0.589,  239085.625000 ,      0.087000
 0.593,  238678.750000 ,      0.085200
 0.597,  237626.640625 ,      0.083300
 0.601,  238992.125000 ,      0.081700
 0.605,  239145.953125 ,      0.081400
