event,id,pt,eta,phi,momentum,mass
62,	6000113,	54.9956,	2.69532,	2.196,	409.108,	15
62,	-6000113,	64.6157,	2.21139,	-1.06614,	298.457,	15
63,	6000113,	34.0603,	-1.22253,	-2.54792,	62.8456,	15
63,	-6000113,	40.8727,	-3.24651,	0.867459,	526.02,	15
64,	6000113,	68.5469,	-1.90361,	2.10115,	235.086,	15
64,	-6000113,	54.8346,	-1.66227,	-0.765514,	149.725,	15
65,	6000113,	69.5449,	0.137954,	-1.15355,	70.2077,	15
65,	-6000113,	43.1331,	1.09233,	1.82327,	71.5284,	15
66,	6000113,	18.2823,	-1.10802,	-3.09093,	30.7012,	15
66,	-6000113,	51.1683,	1.49297,	-0.424026,	119.605,	15
67,	6000113,	101.018,	-1.57213,	0.693572,	253.781,	15
67,	-6000113,	33.7866,	-2.12242,	-2.3163,	143.105,	15
68,	6000113,	56.9163,	-0.454464,	-1.26629,	62.8958,	15
68,	-6000113,	65.6868,	-0.992047,	2.45376,	100.749,	15
69,	6000113,	41.1805,	0.982009,	-0.403332,	62.6844,	15
69,	-6000113,	82.1436,	-0.200498,	-2.37833,	83.8002,	15
70,	6000113,	31.6436,	-0.0768492,	2.71282,	31.7371,	15
70,	-6000113,	69.1189,	1.98628,	-3.11466,	256.624,	15
71,	6000113,	9.51673,	-3.45295,	-1.18723,	150.483,	15
71,	-6000113,	28.0161,	0.52066,	0.798499,	31.9001,	15
72,	6000113,	37.5133,	0.863587,	-2.65966,	52.3929,	15
72,	-6000113,	110.677,	0.204587,	-0.3707,	113.002,	15
73,	6000113,	27.5602,	-1.06755,	-0.866204,	44.8141,	15
73,	-6000113,	44.2586,	-3.24034,	1.38849,	566.099,	15
74,	6000113,	42.9559,	1.24837,	0.537793,	81.0069,	15
74,	-6000113,	24.3984,	-1.23492,	-2.87337,	45.4903,	15
75,	6000113,	66.7934,	-1.69694,	-2.26181,	188.373,	15
75,	-6000113,	54.9135,	-1.44043,	1.09683,	122.439,	15
76,	6000113,	55.4906,	2.41232,	0.631593,	312.117,	15
76,	-6000113,	59.081,	1.66077,	-2.84361,	161.096,	15
77,	6000113,	52.001,	-0.0570021,	1.91669,	52.0855,	15
77,	-6000113,	70.6501,	0.277775,	-0.927645,	73.3933,	15
78,	6000113,	107.722,	-1.68856,	2.22176,	301.432,	15
78,	-6000113,	192.419,	-2.17605,	1.53167,	858.663,	15
